ID,Fecha,Año,Mes,País,Región,Sector,Tamaño_Empresa,Empleados,Certificación,Tipo_Residuo,Estrategia_Circular,Residuos_Generados_Ton,Residuos_Recuperados_Ton,Residuos_Dispuestos_Ton,Tasa_Recuperación_Pct,CO2_Evitado_TonCO2eq,Agua_Ahorrada_m3,Energía_Ahorrada_MWh,Inversión_USD,Ingresos_Circular_USD,Empleos_Creados,ROI_Pct,Índice_Circularidad
50,2020-09-12,2020,9,Colombia,Sur,Construcción,Grande (250+),404,ISO 50001,Papel/Cartón,Remanufactura,2656.61,2424.21,232.4,91.25,5156.39,12046.13,16206.26,241442.07,704881.79,47,191.95,2.3
51,2019-05-18,2019,5,Argentina,Oeste,Papel y Cartón,Micro (<10),4,ISO 14001 + B Corp,Químico Peligroso,Remanufactura,622.33,303.38,318.95,48.75,590.93,1528.79,1018.66,319636.08,516027.18,43,61.44,9.0
52,2024-05-21,2024,5,Ecuador,Oeste,Plásticos,Micro (<10),7,B Corp,Madera,Upcycling,2044.44,631.79,1412.65,30.9,1504.78,3543.66,2650.16,49498.81,156504.24,8,216.18,9.5
53,2022-10-14,2022,10,Ecuador,Norte,Papel y Cartón,Grande (250+),984,B Corp,Madera,Compostaje,4695.57,1963.67,2731.9,41.82,3571.16,8705.23,7531.1,118820.21,188693.4,43,58.81,1.5
54,2024-11-20,2024,11,Chile,Sur,Textil,Micro (<10),4,B Corp,Plástico,Co-procesamiento,4855.61,1162.68,3692.93,23.95,1201.89,17264.73,7443.87,103397.58,309102.26,35,198.95,8.8
55,2020-09-09,2020,9,Perú,Sur,Agroindustria,Mediana (50-249),63,ISO 14001 + B Corp,Madera,Reutilización,3993.58,1141.14,2852.44,28.57,2517.57,3742.19,3636.6,394427.34,893992.75,1,126.66,7.7
56,2023-10-04,2023,10,Ecuador,Este,Construcción,Grande (250+),1985,ISO 14001 + B Corp,Plástico,Co-procesamiento,2262.77,843.58,1419.19,37.28,1394.64,9547.45,6171.33,329792.63,463322.69,41,40.49,4.6
57,2020-02-05,2020,2,España,Centro,Metales,Micro (<10),7,EMAS,Construcción,Reciclaje,1378.7,956.54,422.16,69.38,1440.92,5634.02,7613.78,265747.86,494595.63,38,86.11,8.7
58,2022-07-14,2022,7,Ecuador,Este,Textil,Pequeña (10-49),15,Ninguna,Textil,Co-procesamiento,3649.41,1619.56,2029.85,44.38,1599.4,8002.27,12392.78,343723.7,660913.19,5,92.28,7.7
59,2022-06-28,2022,6,Perú,Norte,Agroindustria,Mediana (50-249),89,B Corp,Químico Peligroso,Reutilización,3328.38,2613.52,714.86,78.52,5775.36,29361.12,20288.73,300604.64,467421.75,36,55.49,5.3
60,2023-04-26,2023,4,España,Este,Plásticos,Micro (<10),5,ISO 14001 + B Corp,Químico Peligroso,Remanufactura,2148.42,1369.73,778.69,63.76,2723.5,13551.11,7618.88,278813.14,648793.92,42,132.7,7.3
61,2023-11-13,2023,11,Chile,Sur,Plásticos,Pequeña (10-49),29,ISO 14001 + B Corp,Electrónicos (RAEE),Reutilización,352.58,274.29,78.29,77.8,668.71,751.21,1228.44,188721.01,351197.98,10,86.09,8.0
62,2019-11-03,2019,11,Paraguay,Centro,Alimentos,Pequeña (10-49),28,ISO 50001,Plástico,Reutilización,1364.15,977.16,386.99,71.63,1337.2,7297.04,2490.54,377716.63,317830.61,27,-15.85,6.3
63,2019-04-10,2019,4,Ecuador,Norte,Electrónica,Grande (250+),721,Cradle to Cradle,Residuos Orgánicos,Upcycling,4726.89,3774.58,952.31,79.85,7478.02,20411.18,5283.97,249195.28,446549.23,8,79.2,5.5
64,2019-06-19,2019,6,Perú,Oeste,Construcción,Grande (250+),1144,ISO 14001,Textil,Reutilización,2149.28,1107.85,1041.43,51.55,1892.55,5991.76,3919.29,483133.65,490679.98,39,1.56,8.6
65,2024-06-08,2024,6,Argentina,Este,Papel y Cartón,Micro (<10),3,Ninguna,Madera,Digestión Anaeróbica,1668.68,552.57,1116.11,33.11,786.34,1679.46,2389.67,453055.44,701386.81,46,54.81,3.3
66,2022-10-25,2022,10,Colombia,Oeste,Alimentos,Pequeña (10-49),38,ISO 14001 + B Corp,Metal,Reciclaje,2899.44,2120.31,779.13,73.13,4750.57,21585.58,16748.31,162280.91,553851.63,20,241.29,5.0
67,2021-08-15,2021,8,Chile,Norte,Electrónica,Mediana (50-249),191,Cradle to Cradle,Madera,Reutilización,192.85,94.04,98.81,48.76,87.6,959.49,736.36,46057.96,105115.29,24,128.22,7.7
68,2023-03-02,2023,3,México,Oeste,Metales,Mediana (50-249),184,Cradle to Cradle,Madera,Upcycling,2255.36,1877.71,377.65,83.26,4022.49,27719.14,2126.45,323417.42,199686.45,45,-38.26,6.5
69,2024-10-02,2024,10,Perú,Este,Plásticos,Grande (250+),1443,ISO 14001 + B Corp,Papel/Cartón,Digestión Anaeróbica,3947.19,2782.37,1164.82,70.49,1238.17,7723.39,15547.45,142789.34,381419.02,42,167.12,7.0
70,2022-11-26,2022,11,Perú,Centro,Electrónica,Micro (<10),7,EMAS,Textil,Compostaje,1645.74,493.19,1152.55,29.97,910.54,7045.7,3935.03,456311.54,356086.77,42,-21.96,4.3
71,2020-02-10,2020,2,Colombia,Sur,Textil,Pequeña (10-49),48,ISO 50001,Electrónicos (RAEE),Co-procesamiento,4222.92,1177.73,3045.19,27.89,2350.66,15044.46,8394.41,19836.0,29958.17,49,51.03,2.5
72,2022-10-10,2022,10,Paraguay,Sur,Agroindustria,Grande (250+),1195,EMAS,Construcción,Reutilización,3763.19,3053.32,709.87,81.14,2487.86,14438.46,23638.73,392400.75,1260361.0,12,221.19,7.9
73,2023-03-28,2023,3,Brasil,Sur,Químicos,Pequeña (10-49),20,ISO 14001 + B Corp,Químico Peligroso,Digestión Anaeróbica,1253.77,877.79,375.98,70.01,1951.38,7888.08,1114.29,423100.25,1291935.83,18,205.35,9.1
74,2022-01-13,2022,1,Colombia,Norte,Papel y Cartón,Grande (250+),328,EMAS,Plástico,Upcycling,2512.53,964.58,1547.95,38.39,2399.83,6328.92,686.21,465482.13,1404605.76,41,201.75,3.6
75,2021-04-27,2021,4,Uruguay,Norte,Agroindustria,Micro (<10),7,ISO 14001,Construcción,Co-procesamiento,751.85,701.76,50.09,93.34,1150.56,5062.45,4436.03,119582.47,103504.01,15,-13.45,2.0
76,2021-07-01,2021,7,Uruguay,Sur,Alimentos,Pequeña (10-49),42,B Corp,Químico Peligroso,Reutilización,3075.97,1192.37,1883.6,38.76,1450.46,12482.94,1361.81,487352.59,342627.37,33,-29.7,1.2
77,2021-02-12,2021,2,Uruguay,Norte,Manufactura,Mediana (50-249),228,B Corp,Textil,Remanufactura,1209.42,861.76,347.66,71.25,455.06,8062.36,5321.45,67571.39,105201.7,21,55.69,6.7
78,2020-01-11,2020,1,Colombia,Norte,Construcción,Mediana (50-249),119,ISO 50001,Construcción,Reutilización,4667.19,2809.64,1857.55,60.2,6956.87,24811.69,6742.72,376892.17,404522.25,22,7.33,8.2
79,2024-08-12,2024,8,Brasil,Oeste,Papel y Cartón,Mediana (50-249),76,ISO 50001,Construcción,Digestión Anaeróbica,4621.93,2796.43,1825.5,60.5,5767.71,31643.28,3053.57,301624.2,894926.19,34,196.7,4.0
80,2021-08-02,2021,8,Chile,Oeste,Electrónica,Grande (250+),1890,ISO 50001,Construcción,Intercambio Industrial,3635.44,3312.08,323.36,91.11,5473.79,24415.65,17540.84,395947.44,266106.06,42,-32.79,7.7
81,2019-04-25,2019,4,Colombia,Sur,Manufactura,Grande (250+),1334,ISO 14001,Metal,Intercambio Industrial,3227.59,1557.24,1670.35,48.25,3719.98,3016.69,2570.67,225511.36,363725.81,28,61.29,4.3
82,2022-09-13,2022,9,Perú,Sur,Electrónica,Micro (<10),4,B Corp,Vidrio,Reciclaje,4568.14,1333.23,3234.91,29.19,2673.02,14671.54,2812.15,306326.71,790917.77,31,158.19,1.7
83,2023-09-10,2023,9,Colombia,Norte,Metales,Mediana (50-249),110,B Corp,Plástico,Remanufactura,4457.2,3851.3,605.9,86.41,7186.45,53990.91,20345.46,397054.5,804538.52,7,102.63,5.4
84,2020-10-03,2020,10,Perú,Centro,Químicos,Grande (250+),1204,ISO 14001 + B Corp,Madera,Remanufactura,333.41,170.23,163.18,51.06,319.56,1355.37,609.59,205307.33,456747.53,8,122.47,7.1
85,2022-09-28,2022,9,Perú,Sur,Agroindustria,Pequeña (10-49),15,ISO 14001 + B Corp,Químico Peligroso,Intercambio Industrial,281.79,83.65,198.14,29.69,53.25,311.42,244.25,354956.73,545948.03,33,53.81,6.7
86,2023-10-05,2023,10,Ecuador,Sur,Electrónica,Micro (<10),1,Cradle to Cradle,Metal,Reparación,860.15,591.0,269.15,68.71,1350.08,3580.2,4390.82,21555.96,66636.88,5,209.13,2.9
87,2021-11-10,2021,11,Paraguay,Centro,Papel y Cartón,Grande (250+),1492,B Corp,Madera,Reutilización,2417.31,2000.7,416.61,82.77,3615.22,11034.58,2095.33,30896.6,56195.25,30,81.88,2.3
88,2019-06-08,2019,6,Perú,Centro,Plásticos,Mediana (50-249),197,Cradle to Cradle,Textil,Compostaje,2335.03,954.16,1380.87,40.86,806.67,2678.29,2553.9,192690.77,452078.05,15,134.61,3.8
89,2019-02-13,2019,2,Colombia,Oeste,Metales,Grande (250+),266,EMAS,Químico Peligroso,Co-procesamiento,2529.7,2413.37,116.33,95.4,1866.3,15117.55,2121.48,247952.21,780310.17,41,214.7,8.6
90,2022-01-19,2022,1,Brasil,Norte,Agroindustria,Grande (250+),1056,EMAS,Papel/Cartón,Remanufactura,2811.28,1357.2,1454.08,48.28,1268.88,9114.56,5262.76,275378.69,819508.79,39,197.59,4.4
91,2022-09-02,2022,9,Perú,Centro,Químicos,Pequeña (10-49),20,Cradle to Cradle,Electrónicos (RAEE),Compostaje,231.29,70.98,160.31,30.69,73.3,560.43,278.77,303524.0,621167.09,20,104.65,7.7
92,2021-08-27,2021,8,Chile,Centro,Alimentos,Grande (250+),793,B Corp,Electrónicos (RAEE),Economía de Producto como Servicio,88.1,40.38,47.72,45.83,21.85,287.64,113.37,449484.78,1400728.23,40,211.63,9.7
93,2024-12-20,2024,12,Paraguay,Centro,Alimentos,Grande (250+),1095,ISO 50001,Vidrio,Reutilización,3874.16,1923.71,1950.45,49.65,4054.52,9175.43,9222.8,350559.93,375923.99,28,7.24,7.2
94,2023-04-18,2023,4,Brasil,Sur,Químicos,Micro (<10),5,B Corp,Madera,Co-procesamiento,1628.62,1166.97,461.65,71.65,1699.17,6693.34,2099.23,456149.96,696532.35,22,52.7,9.6
95,2024-04-23,2024,4,Chile,Este,Químicos,Mediana (50-249),151,ISO 14001 + B Corp,Papel/Cartón,Upcycling,3526.42,1577.34,1949.08,44.73,1683.6,22248.31,10198.36,137455.31,118984.38,43,-13.44,4.1
96,2024-05-24,2024,5,Colombia,Oeste,Electrónica,Micro (<10),4,EMAS,Residuos Orgánicos,Reparación,2398.0,857.56,1540.44,35.76,1273.37,12088.01,4906.34,69499.2,163116.78,37,134.7,9.1
97,2019-11-25,2019,11,Argentina,Oeste,Textil,Grande (250+),834,EMAS,Residuos Orgánicos,Reciclaje,691.65,658.68,32.97,95.23,1614.69,2392.46,3554.7,440443.08,848777.39,41,92.71,6.8
98,2020-01-27,2020,1,España,Oeste,Alimentos,Micro (<10),2,ISO 50001,Vidrio,Economía de Producto como Servicio,1987.99,1165.76,822.23,58.64,2751.82,16890.43,8679.43,438494.84,231438.24,36,-47.22,9.9
99,2019-06-06,2019,6,Ecuador,Sur,Químicos,Grande (250+),1080,EMAS,Construcción,Compostaje,3656.94,2580.57,1076.37,70.57,4853.84,4361.52,7814.85,148217.1,373981.89,12,152.32,8.4
100,2022-06-08,2022,6,Ecuador,Sur,Plásticos,Micro (<10),6,ISO 50001,Plástico,Digestión Anaeróbica,39.12,19.53,19.59,49.92,25.05,99.69,58.05,291647.92,647059.42,16,121.86,2.1
101,2024-05-12,2024,5,Chile,Norte,Agroindustria,Mediana (50-249),220,B Corp,Textil,Economía de Producto como Servicio,3075.05,1140.6,1934.45,37.09,677.35,4069.67,6966.8,303263.74,529964.56,35,74.75,3.0
102,2019-10-04,2019,10,Argentina,Este,Alimentos,Grande (250+),436,Cradle to Cradle,Plástico,Economía de Producto como Servicio,313.48,196.6,116.88,62.72,277.61,1814.91,319.26,164730.7,339514.03,7,106.1,9.1
103,2019-09-15,2019,9,Uruguay,Centro,Manufactura,Grande (250+),373,Ninguna,Construcción,Compostaje,3365.47,1482.06,1883.41,44.04,515.6,7314.22,774.55,109732.75,78907.57,27,-28.09,9.4
104,2024-12-21,2024,12,España,Sur,Metales,Grande (250+),962,ISO 50001,Residuos Orgánicos,Reparación,4819.09,2371.38,2447.71,49.21,5361.53,17916.37,17496.9,189370.68,140276.33,42,-25.93,2.1
105,2019-05-15,2019,5,Ecuador,Norte,Papel y Cartón,Pequeña (10-49),12,ISO 14001 + B Corp,Químico Peligroso,Compostaje,3369.13,2104.59,1264.54,62.47,3094.28,26550.17,4959.13,173733.71,230535.8,46,32.69,6.5
106,2022-10-22,2022,10,México,Norte,Textil,Micro (<10),3,Cradle to Cradle,Vidrio,Reciclaje,3517.91,837.15,2680.76,23.8,1615.02,5801.94,1889.9,109417.34,338229.87,3,209.12,8.3
107,2020-11-17,2020,11,Paraguay,Este,Plásticos,Mediana (50-249),62,ISO 50001,Madera,Intercambio Industrial,1109.11,481.79,627.32,43.44,209.15,6892.02,3419.68,455877.26,1084066.74,27,137.8,9.5
108,2022-03-25,2022,3,Brasil,Este,Químicos,Grande (250+),524,ISO 50001,Electrónicos (RAEE),Digestión Anaeróbica,2691.95,1044.36,1647.59,38.8,831.06,13656.89,1652.84,232049.55,156139.6,26,-32.71,4.5
109,2019-09-24,2019,9,Chile,Este,Textil,Grande (250+),677,ISO 14001 + B Corp,Electrónicos (RAEE),Reciclaje,4147.88,996.31,3151.57,24.02,1125.6,9631.42,793.67,37319.38,108746.88,37,191.4,8.8
110,2024-08-08,2024,8,Perú,Norte,Electrónica,Pequeña (10-49),29,B Corp,Residuos Orgánicos,Upcycling,3479.65,2606.05,873.6,74.89,3055.83,12329.14,7589.11,142246.54,270090.81,41,89.88,5.6
111,2021-07-02,2021,7,Uruguay,Este,Metales,Mediana (50-249),108,ISO 50001,Plástico,Co-procesamiento,2814.81,1048.78,1766.03,37.26,651.32,5265.35,7877.06,289992.32,508279.46,9,75.27,6.1
112,2024-11-24,2024,11,Argentina,Oeste,Metales,Mediana (50-249),58,ISO 14001 + B Corp,Químico Peligroso,Remanufactura,2455.52,813.32,1642.2,33.12,1666.45,3078.49,4800.5,244669.84,795347.8,34,225.07,8.6
113,2019-04-17,2019,4,México,Sur,Manufactura,Pequeña (10-49),36,ISO 14001,Textil,Compostaje,2282.77,564.19,1718.58,24.72,960.82,7959.42,4144.33,329982.89,180565.09,34,-45.28,5.8
114,2019-02-17,2019,2,Chile,Sur,Químicos,Grande (250+),1677,ISO 14001 + B Corp,Papel/Cartón,Reutilización,748.74,261.84,486.9,34.97,381.82,3274.41,655.89,199051.31,322294.87,25,61.92,3.0
115,2022-01-21,2022,1,España,Centro,Manufactura,Grande (250+),682,Ninguna,Plástico,Digestión Anaeróbica,52.2,17.42,34.78,33.37,24.38,128.17,111.19,283362.46,871022.46,6,207.39,9.1
116,2023-10-22,2023,10,Paraguay,Este,Metales,Micro (<10),2,B Corp,Papel/Cartón,Reutilización,169.34,156.54,12.8,92.44,155.27,2266.67,767.48,376374.98,992927.71,25,163.81,3.2
117,2023-12-12,2023,12,Brasil,Norte,Químicos,Pequeña (10-49),11,ISO 14001 + B Corp,Electrónicos (RAEE),Digestión Anaeróbica,273.21,147.79,125.42,54.09,317.02,901.22,926.28,477474.34,806983.75,49,69.01,8.1
118,2024-10-22,2024,10,Uruguay,Sur,Metales,Grande (250+),988,Ninguna,Vidrio,Remanufactura,1903.46,1527.13,376.33,80.23,1450.52,7371.57,1605.47,134718.04,220937.58,50,64.0,2.0
119,2019-03-14,2019,3,México,Sur,Electrónica,Mediana (50-249),124,ISO 14001,Construcción,Remanufactura,2246.97,1421.65,825.32,63.27,1702.71,2636.5,4484.39,47439.07,108831.46,20,129.41,4.5
